Year,Recipient_Code,Source_Code, Disbursement ,,,,,,CFLI
2017,AF ,1020," 1,027,370.52 ",,,,,,
2017,BD ,1020," 90,260.14 ",,,,,,
2017,BF ,1020," 262,509.88 ",,,,,,
2017,BI ,1020," 411,127.80 ",,,,,,
2017,BJ ,1020," 125,487.89 ",,,,,,
2017,BO ,1020," 4,289.35 ",,,,,,
2017,BT ,1020," 1,833.73 ",,,,,,
2017,CD ,1020," 615,793.89 ",,,,,,
2017,CF ,1020," 382,481.55 ",,,,,,
2017,CG ,1020," 64,584.87 ",,,,,,
2017,CI ,1020," 49,881.61 ",,,,,,
2017,CM ,1020," 395,128.45 ",,,,,,
2017,CO ,1020," 16,361.90 ",,,,,,
2017,DJ ,1020," 79,409.60 ",,,,,,
2017,EC ,1020," 107,598.58 ",,,,,,
2017,EG ,1020," 138,848.74 ",,,,,,
2017,ET ,1020," 1,322,816.59 ",,,,,,
2017,GH ,1020," 19,203.86 ",,,,,,
2017,GM ,1020, 35.10 ,,,,,,
2017,GN ,1020," 23,334.61 ",,,,,,
2017,GT ,1020," 269,170.77 ",,,,,,
2017,GW ,1020," 50,478.40 ",,,,,,
2017,HN ,1020," 351,167.69 ",,,,,,
2017,HT ,1020," 611,710.02 ",,,,,,
2017,ID ,1020," 14,074.30 ",,,,,,
2017,IQ ,1020," 916,712.07 ",,,,,,
2017,IR ,1020," 44,375.30 ",,,,,,
2017,JO ,1020," 407,882.11 ",,,,,,
2017,KE ,1020," 471,729.47 ",,,,,,
2017,KH ,1020," 302,853.88 ",,,,,,
2017,KP ,1020," 192,563.65 ",,,,,,
2017,LA ,1020," 96,365.43 ",,,,,,
2017,LB ,1020," 208,001.00 ",,,,,,
2017,LK ,1020," 22,662.51 ",,,,,,
2017,LR ,1020," 86,192.60 ",,,,,,
2017,LS ,1020," 45,271.65 ",,,,,,
2017,LY ,1020," 531,962.10 ",,,,,,
2017,MG ,1020," 287,179.44 ",,,,,,
2017,ML ,1020," 119,198.24 ",,,,,,
2017,MM ,1020," 98,382.46 ",,,,,,
2017,MR ,1020," 424,062.17 ",,,,,,
2017,MW ,1020," 1,027,980.06 ",,,,,,
2017,MZ ,1020," 429,770.80 ",,,,,,
2017,NE ,1020," 872,325.56 ",,,,,,
2017,NG ,1020," 113,165.26 ",,,,,,
